Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
True Love,American Love Call,Durand Jones & The Indications,2019-03-01,0,souldies,0.601,0.525,11,0.0546,0.739,2.11e-06,0.0916,89.584,77,I waited and waited but I have her now...
Heaven,Popular Favorites 1976 - 1992 / Sand in the Vaseline,Talking Heads,1992-10-13,20,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.596,0.42,7,0.0256,0.095,0.245,0.252,107.089,78,Most underrated Talking Heads song ever
ゆめうつつ,ランプ幻想,Lamp,2008-12-03,66,japanese alternative pop,0.346,0.126,2,0.0347,0.985,0.463,0.0771,92.959,79,This whole album deserves a thorough listen because it's just so fun
La Foule,Eternelle,Édith Piaf,1987-10-31,57,"chanson,torch song,vintage schlager",0.454,0.418,4,0.0799,0.836,1.05e-05,0.292,177.737,80,My Grand-maman saw this song performed live in the 50's!
Girl,Rubber Soul,The Beatles,1965-12-03,62,"british invasion,classic rock,merseybeat,psychedelic rock,rock",0.699,0.294,5,0.0294,0.587,0.0,0.117,96.615,81,Is this their best album? Up for debate (it definitely is)
"Valerie - Live At BBC Radio 1 Live Lounge",Back To Black,Amy Winehouse,2006,75,"british soul,neo soul",0.772,0.371,5,0.0348,0.745,0.0,0.167,96.574,82,You can hear her smiling as she sings
Change (In the House of Flies),White Pony,Deftones,2000-05-16,77,"alternative metal,nu metal,rap metal,rock,sacramento indie",0.269,0.853,7,0.0854,0.000249,0.000246,0.118,141.581,83,Horniest rock music
Time,The Dark Side of the Moon,Pink Floyd,1973-03-01,68,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.359,0.48,9,0.0841,0.521,0.0043,0.178,120.285,84
anything,songs,Adrianne Lenker,2020-10-23,78,"countrygaze,indie pop,small room",0.388,0.291,3,0.0421,0.774,1.93e-05,0.0874,83.943,85,Her best song. It's perfect
Mayonaise,Siamese Dream,The Smashing Pumpkins,1993,65,"alternative metal,alternative rock,grunge,permanent wave,rock,spacegrunge",0.482,0.528,10,0.0272,0.000107,0.543,0.0839,146.043,86,My parents both like the Smashing Pumkins so this was often heard in our house
Point and Kill,Sometimes I Might Be Introvert,"Little Simz,Obongjayar",2021-09-03,57,"alternative r&b,escape room,trap queen,experimental r&b",0.944,0.575,7,0.118,0.423,0.00205,0.133,98.021,87,I bonded with your brother over this album when he came to visit you in the fall
Girls just want to have fun,Girls just want to have fun,"Bladee, Ecco2k",2020-02-24,0,"cloud rap,drain,glitchcore,underground hip hop,hyperpop",0.517,0.626,0,0.0375,0.0221,0.587,0.136,149.862,88,Most approachable Drain Gang song
Andromeda,Titanic Rising,Weyes Blood,2019-04-05,65,"art pop,chamber pop,dream pop,experimental folk,experimental pop,indie pop",0.467,0.461,1,0.0274,0.368,0.00115,0.358,131.325,89,We need to see her live!!
Laputa,D>E>A>T>H>M>E>T>A>L,Panchiko,2000-12-05,60,"diy emo,dream pop,zoomergaze",0.509,0.513,0,0.0264,0.876,0.0905,0.104,140.071,90,One of those projects that I listened to all through high school and still return to today
